fips,region_id,county_name,adequacy_ratio,deficit_severity,contention_ratio,concentration,net_summer_gen_mw,inbound_thermal_sum,import_proxy_raw,import_proxy,peak_base,existing_load_adj,peak_adj,deliverable,queue_mw_active,contention,operating_dc_load_mw,import_cap_binding,frac_lines_lookup,frac_plants_county_fallback,frac_thermal_status_unknown,n_boundary_lines,n_op_plants,n_operating_dc
51131,77733727-d97c-4cc7-b9d7-954e1ad8c278,Northampton,0.0,-0.016811745335366078,0.06281447310640241,0.0,20.0,50,25.0,20.695867301121986,41.39173460224397,0.0,41.39173460224397,0.0,20.0,2.6,0.0,True,1.0,0.0,0.0,1,1,0
51133,8a55e697-60d9-4a80-9df7-04b5ccaff5a4,Northumberland,0.0,-1.0,0.01821965982180895,0.0,0.0,0,0.0,0.0,35.675748414465424,0.0,35.675748414465424,0.0,5.0,0.65,0.0,False,1.0,0.0,0.0,0,0,0
51135,6fd83a24-5c89-4baa-bf76-0b43fcfddb9d,Nottoway,0.0,-0.5,0.29104685188955953,0.0,0.0,360,180.0,22.400173572308162,44.800347144616325,0.0,44.800347144616325,0.0,100.3,13.039,0.0,True,1.0,0.0,0.0,3,0,0
51137,2bc3bfea-28d7-4a91-870a-89815aed3f5d,Orange,0.04542220340881709,0.04542220340881709,0.08508586373177547,0.0,62.5,2460,1230.0,57.29506390589089,114.59012781178178,0.0,114.59012781178178,5.204936094109101,75.0,9.75,0.0,True,1.0,0.0,0.0,9,1,0
51139,79999764-b11e-4ee5-89cf-f2e5202374be,Page,0.0,-0.4630288558405516,0.0,0.0,2.4,565,282.5,32.45774582535675,64.9154916507135,0.0,64.9154916507135,0.0,0.0,0.0,0.0,True,1.0,0.0,0.04424778761061947,5,6,0
51141,71eba09b-3db2-42f2-a3bd-4a4627419b5f,Patrick,0.0,-0.25825307894852945,0.0,0.0,11.1,525,262.5,22.957893220978583,45.91578644195717,0.0,45.91578644195717,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,5,4,0
51143,95a31530-4c9a-4d12-973d-9cad5f52192b,Pittsylvania,1.0451994598353638,1.0451994598353638,1.0597448037374406,0.0,246.5,2505,1252.5,79.76316534121226,159.52633068242451,0.0,159.52633068242451,166.73683465878773,1300.44,169.05720000000002,0.0,True,1.0,0.0,0.05788423153692615,27,10,0
51145,7dab8cce-4d9b-43af-938e-970d17b1a089,Powhatan,0.3828564096486141,0.3828564096486141,0.20252941368170826,0.0,82.0,3150,1575.0,46.44016801817005,92.8803360363401,0.0,92.8803360363401,35.55983198182996,144.7,18.811,0.0,True,1.0,0.0,0.015873015873015872,7,4,0
51147,ad890229-7ba3-45cb-a5c2-e36dc4ee3f29,Prince Edward,0.0,-0.4528319575967456,0.952480002929717,0.0,3.0,1520,760.0,31.801192578144956,63.60238515628991,0.0,63.60238515628991,0.0,466.0,60.580000000000005,0.0,True,1.0,0.0,0.0,8,1,0
51149,2fea013f-da42-4bc3-98e3-a135e4742c7d,Prince George,0.8685570719036175,0.8685570719036175,0.4768094774262197,0.0,169.7,7340,3670.0,61.99960655055215,123.9992131011043,0.0,123.9992131011043,107.70039344944784,454.8,59.124,0.0,True,1.0,0.0,0.07084468664850137,15,2,0
51153,93b4e053-bc83-4d76-9826-1983bf8f10d3,Prince William,0.0,-0.09417329870880847,0.07658597281176181,0.1325459644763369,668.2,17780,8890.0,823.2578066869838,1428.2766133739676,218.239,1646.5156133739677,0.0,970.0,126.10000000000001,218.239,True,1.0,0.0,0.04499437570303712,35,12,23
51155,5fe7c4f1-d165-455c-908f-d36007ccb90d,Pulaski,0.2386503307269232,0.2386503307269232,0.4079570308201918,0.0,65.2,6225,3112.5,44.1345500622975,88.269100124595,0.0,88.269100124595,21.065449937702496,277.0,36.01,0.0,True,1.0,0.0,0.0,14,23,0
